first_frame;second_frame;moved
Cam_2_2016-07-20T23:56:22.233290Z--2016-07-21T00:02:02.078798Z.jpg;Cam_2_2016-07-21T23:56:52.656427Z--2016-07-22T00:02:32.502142Z.jpg;1
Cam_2_2016-07-21T23:56:52.656427Z--2016-07-22T00:02:32.502142Z.jpg;Cam_2_2016-07-22T23:59:45.997718Z--2016-07-23T00:05:25.843025Z.jpg;0
Cam_2_2016-07-22T23:59:45.997718Z--2016-07-23T00:05:25.843025Z.jpg;Cam_2_2016-07-23T23:59:02.680817Z--2016-07-24T00:04:42.528368Z.jpg;0
Cam_2_2016-07-23T23:59:02.680817Z--2016-07-24T00:04:42.528368Z.jpg;Cam_2_2016-07-24T23:59:44.749978Z--2016-07-25T00:05:24.595655Z.jpg;1
Cam_2_2016-07-24T23:59:44.749978Z--2016-07-25T00:05:24.595655Z.jpg;Cam_2_2016-07-25T23:54:29.403805Z--2016-07-26T00:00:09.251103Z.jpg;1
Cam_2_2016-07-25T23:54:29.403805Z--2016-07-26T00:00:09.251103Z.jpg;Cam_2_2016-07-26T23:56:06.334405Z--2016-07-27T00:01:45.584248Z.jpg;0
Cam_2_2016-07-26T23:56:06.334405Z--2016-07-27T00:01:45.584248Z.jpg;Cam_2_2016-07-27T23:55:18.947402Z--2016-07-28T00:00:58.795193Z.jpg;1
Cam_2_2016-07-27T23:55:18.947402Z--2016-07-28T00:00:58.795193Z.jpg;Cam_2_2016-07-28T23:54:40.668650Z--2016-07-29T00:00:20.514635Z.jpg;1
Cam_2_2016-07-28T23:54:40.668650Z--2016-07-29T00:00:20.514635Z.jpg;Cam_2_2016-07-29T23:55:37.298164Z--2016-07-30T00:01:17.140951Z.jpg;1
Cam_2_2016-07-29T23:55:37.298164Z--2016-07-30T00:01:17.140951Z.jpg;Cam_2_2016-07-30T23:56:23.064264Z--2016-07-31T00:02:02.907503Z.jpg;0
Cam_2_2016-07-30T23:56:23.064264Z--2016-07-31T00:02:02.907503Z.jpg;Cam_2_2016-07-31T23:59:30.684616Z--2016-08-01T00:05:10.529194Z.jpg;0
Cam_2_2016-07-31T23:59:30.684616Z--2016-08-01T00:05:10.529194Z.jpg;Cam_2_2016-08-01T23:57:44.356321Z--2016-08-02T00:03:24.201860Z.jpg;1
Cam_2_2016-08-01T23:57:44.356321Z--2016-08-02T00:03:24.201860Z.jpg;Cam_2_2016-08-02T23:58:45.052955Z--2016-08-03T00:04:24.900102Z.jpg;0
Cam_2_2016-08-02T23:58:45.052955Z--2016-08-03T00:04:24.900102Z.jpg;Cam_2_2016-08-03T23:54:24.642443Z--2016-08-04T00:00:04.489674Z.jpg;1
Cam_2_2016-08-03T23:54:24.642443Z--2016-08-04T00:00:04.489674Z.jpg;Cam_2_2016-08-04T23:59:39.595069Z--2016-08-05T00:05:19.439227Z.jpg;0
Cam_2_2016-08-04T23:59:39.595069Z--2016-08-05T00:05:19.439227Z.jpg;Cam_2_2016-08-05T23:58:25.066291Z--2016-08-06T00:04:10.229086Z.jpg;1
Cam_2_2016-08-05T23:58:25.066291Z--2016-08-06T00:04:10.229086Z.jpg;Cam_2_2016-08-06T23:58:24.451034Z--2016-08-07T00:04:04.297565Z.jpg;0
