id;Start_Video;End_Video;End_Video_Unsafe
0;Cam_0_2016-07-19T12:37:31.470185Z--2016-07-19T12:38:14.657679Z.mkv;Cam_0_2016-07-20T10:20:01.964534Z--2016-07-20T10:25:41.810067Z.mkv;Cam_0_2016-07-20T10:25:42.147975Z--2016-07-20T10:29:33.027167Z.mkv
1;Cam_0_2016-07-20T10:40:36.396559Z--2016-07-20T10:46:16.242492Z.mkv;Cam_0_2016-07-21T10:20:10.407770Z--2016-07-21T10:25:50.254811Z.mkv;Cam_0_2016-07-21T10:25:50.587593Z--2016-07-21T10:31:30.765953Z.mkv
2;Cam_0_2016-07-21T10:31:31.098896Z--2016-07-21T10:37:10.944889Z.mkv;Cam_0_2016-07-24T11:29:03.084464Z--2016-07-24T11:34:42.931128Z.mkv;Cam_0_2016-07-24T11:34:43.265682Z--2016-07-24T11:40:23.110571Z.mkv
3;Cam_0_2016-07-24T11:40:23.444951Z--2016-07-24T11:46:03.289876Z.mkv;Cam_0_2016-07-25T10:47:50.688027Z--2016-07-25T10:53:30.535022Z.mkv;Cam_0_2016-07-25T10:53:30.870457Z--2016-07-25T10:59:10.713458Z.mkv
4;Cam_0_2016-07-25T10:59:11.045678Z--2016-07-25T11:04:50.893604Z.mkv;Cam_0_2016-07-27T13:40:58.985582Z--2016-07-27T13:46:38.828392Z.mkv;Cam_0_2016-07-27T13:46:39.163393Z--2016-07-27T13:50:56.620522Z.mkv
5;Cam_0_2016-07-27T15:04:57.056219Z--2016-07-27T15:10:36.901958Z.mkv;Cam_0_2016-07-27T15:55:58.667311Z--2016-07-27T16:01:38.513898Z.mkv;Cam_0_2016-07-27T16:01:38.847405Z--2016-07-27T16:07:18.692934Z.mkv
6;Cam_0_2016-07-27T16:12:59.205354Z--2016-07-27T16:18:39.050062Z.mkv;Cam_0_2016-07-28T11:06:03.598201Z--2016-07-28T11:11:43.446201Z.mkv;Cam_0_2016-07-28T11:11:43.778974Z--2016-07-28T11:17:23.625132Z.mkv
7;Cam_0_2016-07-28T11:17:23.958535Z--2016-07-28T11:23:03.804574Z.mkv;Cam_0_2016-07-29T10:31:28.900095Z--2016-07-29T10:37:08.745846Z.mkv;Cam_0_2016-07-29T10:37:09.078228Z--2016-07-29T10:42:13.710859Z.mkv
8;Cam_0_2016-07-29T13:26:24.525832Z--2016-07-29T13:32:04.370875Z.mkv;Cam_0_2016-08-01T09:24:28.524594Z--2016-08-01T09:30:08.371296Z.mkv;Cam_0_2016-08-01T09:30:08.706039Z--2016-08-01T09:33:22.712395Z.mkv
9;Cam_0_2016-08-01T09:39:14.820484Z--2016-08-01T09:44:54.664688Z.mkv;Cam_0_2016-08-01T09:44:54.997697Z--2016-08-01T09:50:34.843940Z.mkv;Cam_0_2016-08-01T09:50:35.176821Z--2016-08-01T09:51:31.983360Z.mkv
10;Cam_0_2016-08-01T09:54:11.880642Z--2016-08-01T09:59:51.724688Z.mkv;Cam_0_2016-08-03T11:02:12.547517Z--2016-08-03T11:06:49.270713Z.mkv;Cam_0_2016-08-03T11:14:10.077586Z--2016-08-03T11:17:04.485231Z.mkv
11;Cam_0_2016-08-03T13:11:49.717921Z--2016-08-03T13:17:29.562534Z.mkv;Cam_0_2016-08-05T10:16:41.776224Z--2016-08-05T10:22:21.622852Z.mkv;Cam_0_2016-08-05T10:22:21.954496Z--2016-08-05T10:28:01.802276Z.mkv
12;Cam_0_2016-08-05T10:28:02.134566Z--2016-08-05T10:33:41.981464Z.mkv;Cam_0_2016-08-15T13:14:54.991016Z--2016-08-15T13:15:17.907660Z.mkv;Cam_0_2016-08-15T13:15:23.888804Z--2016-08-15T13:15:31.860274Z.mkv
13;Cam_0_2016-08-15T13:15:43.647653Z--2016-08-15T13:21:23.495583Z.mkv;Cam_0_2016-08-19T07:44:42.921923Z--2016-08-19T07:45:11.824187Z.mkv;Cam_0_2016-08-19T07:49:42.492044Z--2016-08-19T07:55:22.337571Z.mkv
14;Cam_0_2016-08-19T07:55:22.670683Z--2016-08-19T08:01:02.517340Z.mkv;Cam_0_2016-08-21T16:26:00.695033Z--2016-08-21T16:31:40.542753Z.mkv;Cam_0_2016-08-21T16:31:40.875168Z--2016-08-21T16:35:50.030605Z.mkv
15;Cam_0_2016-08-21T16:46:43.637650Z--2016-08-21T16:52:23.486626Z.mkv;Cam_0_2016-08-23T06:01:42.426671Z--2016-08-23T06:07:22.273792Z.mkv;Cam_0_2016-08-23T06:07:22.606111Z--2016-08-23T06:09:41.137358Z.mkv
16;Cam_0_2016-08-23T06:11:33.631717Z--2016-08-23T06:17:13.478561Z.mkv;Cam_0_2016-08-23T06:17:13.811825Z--2016-08-23T06:22:53.657876Z.mkv;Cam_0_2016-08-23T06:22:53.990393Z--2016-08-23T06:28:33.837353Z.mkv
17;Cam_0_2016-08-23T06:28:34.169372Z--2016-08-23T06:34:14.016344Z.mkv;Cam_0_2016-09-14T14:48:32.374529Z--2016-09-14T14:54:12.220584Z.mkv;Cam_0_2016-09-14T14:54:12.553682Z--2016-09-14T14:55:49.225273Z.mkv
18;Cam_0_2016-09-14T15:19:20.096810Z--2016-09-14T15:24:59.943131Z.mkv;Cam_0_2016-09-19T08:40:12.278788Z--2016-09-19T08:45:52.125778Z.mkv;
