id;Start_Video;End_Video
0;Cam_1_2016-07-19T12:37:31.801910Z--2016-07-19T12:38:14.656075Z.mkv;Cam_1_2016-07-20T10:21:16.046812Z--2016-07-20T10:26:55.892390Z.mkv
1;Cam_1_2016-07-20T10:40:36.396398Z--2016-07-20T10:46:16.242825Z.mkv;Cam_1_2016-07-21T10:18:17.458369Z--2016-07-21T10:23:57.304273Z.mkv
2;Cam_1_2016-07-21T10:29:37.817900Z--2016-07-21T10:35:17.663153Z.mkv;Cam_1_2016-07-24T11:29:03.084393Z--2016-07-24T11:34:42.931284Z.mkv
3;Cam_1_2016-07-24T11:40:23.443903Z--2016-07-24T11:46:03.290099Z.mkv;Cam_1_2016-07-25T10:47:51.020343Z--2016-07-25T10:53:30.867294Z.mkv
4;Cam_1_2016-07-25T10:59:11.379029Z--2016-07-25T11:04:51.225284Z.mkv;Cam_1_2016-07-27T13:40:59.314846Z--2016-07-27T13:46:39.162045Z.mkv
5;Cam_1_2016-07-27T15:04:57.387879Z--2016-07-27T15:10:37.235565Z.mkv;Cam_1_2016-07-28T11:07:05.724169Z--2016-07-28T11:12:45.569805Z.mkv
6;Cam_1_2016-07-28T11:18:26.082701Z--2016-07-28T11:24:05.978776Z.mkv;Cam_1_2016-07-29T10:31:29.895115Z--2016-07-29T10:37:09.742290Z.mkv
7;Cam_1_2016-07-29T13:15:04.168519Z--2016-07-29T13:20:44.013947Z.mkv;Cam_1_2016-07-29T13:15:04.168519Z--2016-07-29T13:20:44.013947Z.mkv
8;Cam_1_2016-07-29T13:26:24.526198Z--2016-07-29T13:32:04.370881Z.mkv;Cam_1_2016-08-01T09:24:28.856878Z--2016-08-01T09:30:08.706038Z.mkv
9;Cam_1_2016-08-01T09:39:14.818098Z--2016-08-01T09:44:54.667457Z.mkv;Cam_1_2016-08-01T09:44:54.997735Z--2016-08-01T09:50:34.843962Z.mkv
10;Cam_1_2016-08-01T09:54:11.878237Z--2016-08-01T09:59:51.724774Z.mkv;Cam_1_2016-08-03T10:46:25.848548Z--2016-08-03T10:51:51.077471Z.mkv
11;Cam_1_2016-08-03T11:02:12.211250Z--2016-08-03T11:06:49.270722Z.mkv;Cam_1_2016-08-03T11:02:12.211250Z--2016-08-03T11:06:49.270722Z.mkv
12;Cam_1_2016-08-03T13:11:48.360014Z--2016-08-03T13:17:28.233244Z.mkv;Cam_1_2016-08-05T10:39:06.546146Z--2016-08-05T10:40:20.628653Z.mkv
13;Cam_1_2016-08-05T10:52:34.009490Z--2016-08-05T10:58:13.855965Z.mkv;Cam_1_2016-08-21T16:26:01.027939Z--2016-08-21T16:31:40.874896Z.mkv
14;Cam_1_2016-08-21T16:46:43.637656Z--2016-08-21T16:52:23.483112Z.mkv;Cam_1_2016-09-19T08:40:14.275312Z--2016-09-19T08:45:54.119255Z.mkv
